country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
gambia,africa,11999,365,11591,43,0,4718,144,155686,61220,2543054
georgia,asia,1655221,16811,1637293,1117,0,416417,4229,16920079,4256722,3974908
germany,europe,25780226,137919,23956700,1685607,1279,305877,1636,122332384,1451450,84282880
ghana,africa,161280,1445,159788,47,1,4996,45,2442206,75655,32280617
gibraltar,europe,18129,102,16579,1448,0,538400,3029,534283,15867278,33672
greece,europe,3392575,29547,3306014,57014,176,328475,2861,81233888,7865209,10328255
greenland,north_america,11971,21,2761,9189,4,210191,369,164926,2895826,56953
grenada,north_america,16344,221,14634,1489,4,144008,1947,157363,1386531,113494
guadeloupe,north_america,140130,854,2250,137026,19,350105,2134,938039,2343627,400251
guatemala,north_america,851877,17792,831794,2291,5,45966,960,4543522,245163,18532670
guinea_bissau,africa,8222,171,8010,41,6,4002,83,136655,66512,2054599
guinea,africa,36597,442,36113,42,8,2653,32,660107,47848,13795931
guyana,south_america,63804,1228,62301,275,0,80396,1547,610906,769770,793621
haiti,north_america,30713,835,29605,273,0,2634,72,132422,11356,11661401
holy_see,europe,29,0,29,0,0,36025,0,0,0,805
honduras,north_america,424390,10896,132358,281136,105,41615,1068,1365056,133856,10197959
hungary,europe,1909948,46343,1821435,42170,29,198649,4820,11394556,1185122,9614673
iceland,europe,186545,120,0,0,0,540134,347,2264004,6555338,345368
india,asia,43121599,524214,42579693,17692,698,30686,373,843836914,600479,1405273033
indonesia,asia,6050776,156458,5889534,4784,2771,21694,561,97245391,348662,278910317
iran,asia,7228051,141224,7020835,65992,737,84052,1642,51771715,602031,85995095
iraq,asia,2326458,25216,2299985,1257,10,55520,602,18529376,442197,41902979
ireland,europe,1535451,7203,1499879,28369,28,304622,1429,12144747,2409429,5040509
isle_of_man,europe,28416,105,26794,1517,0,330915,1223,150753,1755575,85871
israel,asia,4106793,10749,4081150,14894,150,440360,1153,41373364,4436346,9326000
italy,europe,17057873,165244,15894511,998118,347,282901,2741,217853667,3613054,60296265
jamaica,north_america,131980,2995,84883,44102,0,44211,1003,1031235,345445,2985238
japan,asia,8338211,30039,7951587,356585,139,66305,239,50444181,401129,125755488
jordan,asia,1694216,14048,1678941,1227,124,163034,1352,16670254,1604177,10391780
kazakhstan,asia,1305636,13661,1291669,306,24,68020,712,11575012,603023,19194987
kenya,africa,324026,5649,318142,235,0,5789,101,3630986,64866,55976553
kiribati,australia/oceania,3093,13,2602,478,3,25175,106,0,0,122862
kuwait,asia,632074,2555,629114,405,3,144040,582,8071763,1839430,4388186
kyrgyzstan,asia,200993,2991,196406,1596,131,29889,445,1907195,283613,6724638
laos,asia,209386,754,0,0,0,28022,101,1232128,164896,7472169
latvia,europe,825699,5798,816253,3648,6,446957,3139,7217715,3907005,1847378
lebanon,asia,1097956,10407,1084853,2696,186,162215,1538,4795578,708511,6768532
lesotho,africa,32910,697,24155,8058,0,15139,321,431221,198365,2173878
liberia,africa,7451,294,5747,1410,2,1411,56,139824,26487,5278999
libya,africa,501904,6430,490973,4501,101,71240,913,2477219,351613,7045301
liechtenstein,europe,17347,84,17192,71,1,452546,2191,102174,2665501,38332
lithuania,europe,1060619,9127,1032609,18883,11,399994,3442,9954903,3754317,2651588
luxembourg,europe,244182,1073,235939,7170,0,378610,1664,4248188,6586920,644943
macedonia,europe,310684,9289,300761,634,0,149137,4459,2034606,976666,2083215
madagascar,africa,64236,1393,59370,3473,14,2214,48,430995,14854,29016291
malawi,africa,85887,2636,82703,548,67,4284,131,578807,28868,20050211
malaysia,asia,4475873,35612,4409159,31102,47,135067,1075,59274648,1788706,33138284
maldives,asia,179483,298,163687,15498,25,321497,534,2213831,3965506,558272
mali,africa,31003,733,30088,182,0,1453,34,675008,31636,21336613
malta,europe,93508,713,90076,2719,4,210730,1607,1904970,4293055,443733
marshall_islands,australia/oceania,17,0,14,3,0,284,0,0,0,59934
martinique,north_america,153253,926,104,152223,8,408977,2471,828928,2212109,374723
mauritania,africa,58840,982,57708,150,0,12064,201,816126,167336,4877181
mauritius,africa,37843,996,36183,664,0,29665,781,358675,281160,1275698
mayotte,africa,37363,187,2964,34212,0,131066,656,176919,620616,285070
mexico,north_america,5745652,324465,5044893,376294,4798,43708,2468,15855490,120615,131455607
micronesia,australia/oceania,7,0,1,6,0,60,0,0,0,117269
moldova,europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504
monaco,europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760
mongolia,asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601
montenegro,europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214
montserrat,north_america,747,2,390,355,0,149460,400,11238,2248499,4998
morocco,africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337
mozambique,africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526
myanmar,asia,613140,19434,592089,1617,0,11130,353,8083326,146732,55089133
namibia,africa,160074,4028,153662,2384,0,60944,1534,1018783,387873,2626590
nauru,australia/oceania,8,0,5,3,0,731,0,0,0,10951
nepal,asia,978998,11952,966904,142,0,32511,397,5669140,188264,30112649
netherlands,europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480
new_caledonia,australia/oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610
new_zealand,australia/oceania,1043683,923,989005,53755,0,208649,185,7127584,1424918,5002100
nicaragua,north_america,18491,225,4225,14041,0,2731,33,0,0,6771338
niger,africa,9013,310,8579,124,1,349,12,253043,9794,25837472
nigeria,africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424
niue,australia/oceania,9,0,9,0,0,5464,0,0,0,1647
norway,europe,1429717,3061,0,0,20,259940,557,11002430,2000372,5500191
oman,asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410
pakistan,asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790
palau,australia/oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255
panama,north_america,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253
papua_new_guinea,australia/oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605
paraguay,south_america,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705
peru,south_america,3571919,213023,0,0,248,105593,6297,30226868,893567,33827210
philippines,asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269
poland,europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420
portugal,europe,4066674,22583,0,0,61,400999,2227,41903714,4131968,10141346
qatar,asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805
reunion,africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212
romania,europe,2903072,65612,0,0,138,152803,3453,22954921,1208233,18998751
russia,europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996
rwanda,africa,129907,1459,45522,82926,0,9587,108,5343203,394334,13549956
saint_barthelemy,north_america,4611,6,0,0,0,464210,604,78646,7917648,9933
saint_helena,africa,2,0,2,0,0,327,0,0,0,6111
saint_kitts_and_nevis,north_america,5605,43,5547,15,0,103989,798,70707,1311818,53900
saint_lucia,north_america,24267,368,23277,622,1,131038,1987,143281,773697,185190
saint_martin,north_america,10602,63,1399,9140,7,265754,1579,112382,2817015,39894
saint_pierre_and_miquelon,north_america,2739,1,2449,289,1,477095,174,23687,4125936,5741
saint_vincent_and_the_grenadines,north_america,6799,106,6641,52,0,60925,950,99138,888365,111596
samoa,australia/oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869
san_marino,europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064
sao_tome_and_principe,africa,5970,73,5891,6,0,26330,322,29036,128060,226737
saudi_arabia,asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522
senegal,africa,86039,1966,84059,14,0,4898,112,1081824,61589,17565349
serbia,europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838
seychelles,africa,43235,167,42553,515,0,434606,1679,0,0,99481
sierra_leone,africa,7682,125,0,0,0,928,15,259958,31400,8279028
singapore,asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034
sint_maarten,north_america,10123,86,9985,52,10,231208,1964,62056,1417354,43783
slovakia,europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567
slovenia,europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470
solomon_islands,australia/oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243
somalia,africa,26518,1350,13182,11986,0,1586,81,400466,23953,16718643
south_africa,africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292
south_korea,asia,17782061,23709,0,0,338,346282,462,15804065,307763,51351355
south_sudan,africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136
spain,europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503
sri_lanka,asia,663671,16511,646921,239,0,30753,765,6486117,300555,21580463
state_of_palestine,asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203
sudan,africa,62161,4936,0,0,0,1359,108,562941,12303,45755378
suriname,south_america,80008,1337,49455,29216,0,134147,2242,236268,396143,596421
swaziland,africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536
sweden,europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549
switzerland,europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500
syria,asia,55869,3150,52479,240,0,3054,172,146269,7996,18292142
taiwan,asia,768543,1068,60634,706841,0,32161,45,16207475,678221,23897056
tajikistan,asia,17388,124,17264,0,0,1750,12,0,0,9936493
tanzania,africa,35354,840,0,0,7,562,13,0,0,62901456
thailand,asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166
timor_leste,asia,22889,131,22746,12,0,16766,96,264799,193963,1365204
togo,africa,37023,273,36727,23,0,4285,32,735638,85144,8639966
tonga,australia/oceania,11049,11,10110,928,0,102376,102,518262,4802012,107926
trinidad_and_tobago,north_america,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928
tunisia,africa,1041197,28575,0,0,29,86414,2372,4592916,381189,12048936
turkey,asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250
turks_and_caicos_islands,north_america,6046,36,5963,47,4,152323,907,505354,12731886,39692
uganda,africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823
uk,europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166
ukraine,europe,5006460,108449,0,0,177,115771,2508,19521252,451415,43244553
united_arab_emirates,asia,902484,2302,886128,14054,0,89240,228,159103283,15732628,10112950
uruguay,south_america,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151
usa,north_america,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623
uzbekistan,asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515
vanuatu,australia/oceania,8457,14,7974,469,0,26386,44,24976,77926,320508
venezuela,south_america,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909
viet_nam,asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721
wallis_and_futuna_islands,australia/oceania,454,7,438,9,0,41755,644,20508,1886140,10873
western_sahara,africa,10,1,9,0,0,16,2,0,0,624681
yemen,asia,11819,2149,9009,661,23,381,69,265253,8543,31049015
zambia,africa,320591,3983,315997,611,0,16575,206,3452554,178497,19342381
zimbabwe,africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849
